Code;Libellé;Libellé ticket de caisse;Famille;Marque;Prix d'achat HT;Prix de vente HT;Tva;Prix de vente TTC;Quantité;Poids (Kg);Unité;Désignation;Observations;Quantité d'Alerte
ART0489;SIMON LIFE MANDARINE 24X0.33L;;BOISSON;;14.0000;13.2200;6.0000;14.0132;0;;;SIMON LIFE MANDARINE 24X0.33L;;
ART0492;SIMON ORANGE 24X0.33L;;BOISSON;;14.0000;13.2300;6.0000;14.0238;0;;;SIMON ORANGE 24X0.33L;;
ART0450;OASIS FRAISE FRAMBOISE  24X0,33L;;BOISSON;;13.5000;14.5000;6.0000;15.3700;0;;;OASIS FRAISE FRAMBOISE  24X0,33L;;
ART0452;OASIS POMME POIRE  24X0,33L;;BOISSON;;13.5000;14.8000;6.0000;15.6880;0;;;OASIS POMME POIRE  24X0,33L;;
ART0408;FANTA ORANGE 6 x 1.5L;;BOISSON;;13.0000;10.2000;6.0000;10.8120;0;;;FANTA ORANGE 6 x 1.5L;;
ART0424;HAWAI TROPICAL ESPAGNE 24 X0.33L;;BOISSON;;13.0000;14.0000;6.0000;14.8400;0;;;HAWAI TROPICAL ESPAGNE 24 X0.33L;;
ART0428;HEMDRAAGTAS 25+12+55CM 50 MICRON BIO;;EMBALLAGE;;13.0000;15.0000;21.0000;18.1500;0;;;HEMDRAAGTAS 25+12+55CM 50 MICRON BIO;;
ART0468;POMS ESPAGNE 24 X0.33L;;BOISSON;;13.0000;14.0000;6.0000;14.8400;0;;;POMS ESPAGNE 24 X0.33L;;
ART0493;SPA PETILLANTE 24x0.5L;;BOISSON;;13.0000;14.0000;6.0000;14.8400;0;;;SPA PETILLANTE 24x0.5L;;
ART0495;SPRITE 6 x 1.5L BE;;BOISSON;;13.0000;10.6000;6.0000;11.2360;0;;;SPRITE 6 x 1.5L BE;;
ART0502;TROPICO 24 x 0.33L;;BOISSON;;13.0000;14.8000;6.0000;15.6880;0;;;TROPICO 24 x 0.33L;;
ART0494;SPA REINE 24 x 0.50L;;BOISSON;;12.5000;11.2000;6.0000;11.8720;0;;;SPA REINE 24 x 0.50L;;
ART0390;COCA 12 x 0.5L;;BOISSON;;12.0000;12.1000;6.0000;12.8260;0;;;COCA 12 x 0.5L;;
ART0393;COCA ZERO 12 X0.50L;;BOISSON;;12.0000;13.1000;6.0000;13.8860;0;;;COCA ZERO 12 X0.50L;;
ART0412;FRISTI 12X0.25L;;BOISSON;;12.0000;13.8000;6.0000;14.6300;0;;;FRISTI 12X0.25L;;
ART0423;HAWAI TROPICAL ESPAGNE 12 X0.5L;;BOISSON;;12.0000;11.2000;6.0000;11.8720;0;;;HAWAI TROPICAL ESPAGNE 12 X0.5L;;
ART0427;HEMDRAAGTAS 25+12+48CM 50 MICRON BIO;;EMBALLAGE;;12.0000;13.8000;21.0000;16.7000;0;;;HEMDRAAGTAS 25+12+48CM 50 MICRON BIO;;
ART0460;PEPSI MAX 24X0.33L;;BOISSON;;12.0000;12.0200;6.0000;12.7412;0;;;PEPSI MAX 24X0.33L;;
ART0467;POMS ESPAGNE 12 X0.5L;;BOISSON;;12.0000;11.8000;6.0000;12.5080;0;;;POMS ESPAGNE 12 X0.5L;;
ART0477;ROSTOY MULTIVITAMINE 6X1L;;BOISSON;;12.0000;11.0000;6.0000;11.6600;0;;;ROSTOY MULTIVITAMINE 6X1L;;
ART0478;ROSTOY PECH 6X1L;;BOISSON;;12.0000;11.2000;6.0000;11.8720;0;;;ROSTOY PECH 6X1L;;
ART0488;SIMON LIFE FRAIS 6XL.5L;;BOISSON;;12.0000;11.5000;6.0000;12.1900;0;;;SIMON LIFE FRAIS 6XL.5L;;
ART0490;SIMON LIFE MANGE 6XL.5L;;BOISSON;;12.0000;11.5000;6.0000;12.1900;0;;;SIMON LIFE MANGE 6XL.5L;;
ART0491;SIMON LIFE ORANGE 6XL.5L;;BOISSON;;12.0000;11.8000;6.0000;12.5080;0;;;SIMON LIFE ORANGE 6XL.5L;;
ART0378;CAPRI SUN BERRIES 40X0.20L;;BOISSON;;11.5000;13.2000;6.0000;13.9900;0;;;CAPRI SUN BERRIES 40X0.20L;;
ART0379;CAPRI SUN MULTI VITAMIN 4 X10;;BOISSON;;11.5000;13.2000;6.0000;13.9900;0;;;CAPRI SUN MULTI VITAMIN 4 X10;;
ART0380;CAPRI SUN ORANGE 4 X10;;BOISSON;;11.5000;13.2000;6.0000;13.9900;0;;;CAPRI SUN ORANGE 4 X10;;
ART0381;CAPRI SUN SAFARI 4 X10;;BOISSON;;11.5000;13.2000;6.0000;13.9900;0;;;CAPRI SUN SAFARI 4 X10;;
ART0411;FRICANDELLE MAISON HELAL 40 P VAN REUSEL;;SNACK;;11.5000;13.2000;6.0000;13.9900;0;;;FRICANDELLE MAISON HELAL 40 P VAN REUSEL;;
ART0396;COLA TURKA 24 X33CL;;BOISSON;;11.1000;13.7000;6.0000;14.5220;0;;;COLA TURKA 24 X33CL;;
ART0359;ALGÉRIENNE OZ FOOD 3 L;;SNACK;;10.6000;12.2000;6.0000;12.9300;0;;;ALGÉRIENNE OZ FOOD 3 L;;
ART0486;SEL EN PORTION INDIVIDUEL 2000 PIECES;;SNACK;;10.3000;11.8000;6.0000;12.5100;0;;;SEL EN PORTION INDIVIDUEL 2000 PIECES;;
ART0446;MUCHACHO HALAL 20 X 140G;;SNACK;;10.2000;11.7000;6.0000;12.4000;0;;;MUCHACHO HALAL 20 X 140G;;
ART0426;HEMDRAAGTAS 25+12+45CM (50MC BIO;;EMBALLAGE;;10.0000;11.5000;21.0000;13.9200;0;;;HEMDRAAGTAS 25+12+45CM (50MC BIO;;
ART0470;PR MIDI BLACK LABEL;;EMBALLAGE;;10.0000;11.5000;21.0000;13.9200;0;;;PR MIDI BLACK LABEL;;
ART0497;TARTARE 3 LIT ANDA;;SNACK;;9.9000;11.4000;6.0000;12.0800;0;;;TARTARE 3 LIT ANDA;;
ART0437;KARTON BAKIES F4 250ST;;EMBALLAGE;;9.0000;10.4000;21.0000;12.5800;0;;;KARTON BAKIES F4 250ST;;
ART0409;FETA GREEK SYRTOS 1KG;;SNACK;;8.9000;10.2000;6.0000;10.8100;0;;;FETA GREEK SYRTOS 1KG;;
ART0510;VINAIGRETTE CIBOULETTE 2 LIT ANDA;;SNACK;;8.8000;10.1000;6.0000;10.7100;0;;;VINAIGRETTE CIBOULETTE 2 LIT ANDA;;
ART0420;HAMBURGER POULET HALAL 30X100GR OZFOOD;;SNACK;;8.6000;9.9000;6.0000;10.4900;0;;;HAMBURGER POULET HALAL 30X100GR OZFOOD;;
ART0405;FANTA EXOTIC 4 X1.5L;;BOISSON;;8.5000;9.8000;6.0000;10.3900;0;;;FANTA EXOTIC 4 X1.5L;;
